PROPERTY TYPE,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
Condo/Co-op,Miami,FL,33186,249000,3.0,2.0,1102.0,7576.5,1987.0,1,226.0,448.0,N,Y,25.6851513,-80.4028666
Single Family Residential,Miami,FL,33165,459000,5.0,3.0,2070.0,7574.0,1958.0,1,222.0,241.0,N,Y,25.725431600000004,-80.3447003
Single Family Residential,Miami,FL,33145,772000,5.0,3.0,1760.0,9405.0,1940.0,1,439.0,241.0,N,Y,25.7483523,-80.2189076
Mobile/Manufactured Home,Miami,FL,33184,66900,3.0,1.0,1712.0,7576.5,1971.0,1,270.0,825.0,N,Y,25.755163500000002,-80.404916
Condo/Co-op,Miami,FL,33196,179000,2.0,2.0,1075.0,7576.5,1990.0,1,167.0,350.0,N,Y,25.6684121,-80.45106240000001
Single Family Residential,Miami,FL,33173,925500,4.0,3.0,2596.0,12000.0,1963.0,1,357.0,241.0,N,Y,25.690131,-80.344707
Single Family Residential,Miami,FL,33177,329900,3.0,2.0,1380.0,4109.0,1995.0,1,239.0,47.0,N,Y,25.607636499999998,-80.41885119999999
Single Family Residential,Miami,FL,33168,259999,2.0,1.0,1122.0,10725.0,1950.0,1,232.0,241.0,N,Y,25.9080734,-80.20191190000001
Single Family Residential,Miami,FL,33157,365000,3.0,2.0,2060.0,9394.0,1970.0,1,177.0,241.0,N,Y,25.625092300000002,-80.36071020000001
Condo/Co-op,Miami,FL,33186,183000,2.0,2.0,930.0,7576.5,1986.0,1,197.0,241.0,N,Y,25.67538,-80.4179714
Single Family Residential,Miami Beach,FL,33138,5450000,8.0,5.0,9520.0,25060.0,2010.0,1,572.0,241.0,N,Y,25.852264899999998,-80.17357159999999
Single Family Residential,Miami,FL,33185,375000,4.0,2.0,1604.0,4627.0,2000.0,1,234.0,241.0,N,Y,25.732627899999997,-80.436869
Condo/Co-op,Miami,FL,33132,965000,4.0,1.0,2557.0,7576.5,2005.0,1,377.0,1530.0,N,Y,25.7921236,-80.19356529999999
Condo/Co-op,Miami,FL,33165,189000,2.0,2.5,828.0,7576.5,1983.0,1,228.0,112.0,N,Y,25.751514,-80.3668671
Multi-Family (2-4 Unit),Miami,FL,33161,439000,3.0,2.0,2525.0,7576.5,1945.0,1,174.0,241.0,N,Y,25.8763784,-80.1708752
Condo/Co-op,Miami,FL,33179,80000,1.0,1.5,898.0,7576.5,1970.0,1,89.0,220.0,N,Y,25.9518375,-80.17554840000001
Townhouse,Miami,FL,33175,270000,3.0,2.0,1243.0,7576.5,1990.0,1,217.0,30.0,N,Y,25.7174903,-80.42904449999999
Single Family Residential,Miami,FL,33144,550000,4.0,4.0,2215.0,7839.0,1960.0,1,248.0,241.0,N,Y,25.7652877,-80.302133
Condo/Co-op,Miami,FL,33193,160000,2.0,2.0,877.0,7576.5,1992.0,1,182.0,267.0,N,Y,25.6936198,-80.4398315
Condo/Co-op,Miami,FL,33130,285000,1.0,1.5,820.0,7576.5,2008.0,1,348.0,690.0,N,Y,25.770906699999998,-80.1940335
Vacant Land,Miami,FL,33177,155000,3.0,2.0,1712.0,22651.0,1980.0,1,270.0,241.0,N,Y,25.595057999999998,-80.3992652
Condo/Co-op,Miami,FL,33162,130000,4.0,3.5,1620.0,7576.5,1974.0,1,80.0,300.0,N,Y,25.9146299,-80.18659790000001
Condo/Co-op,Miami,FL,33131,1199900,2.0,2.0,1728.0,7576.5,2003.0,1,694.0,1726.0,N,Y,25.759088000000002,-80.1918167
Single Family Residential,Miami,FL,33143,1488000,5.0,5.0,4336.0,38638.0,1952.0,1,343.0,241.0,N,Y,25.706404,-80.3112348
Condo/Co-op,Miami,FL,33156,242000,1.0,1.0,957.0,7576.5,2006.0,1,253.0,241.0,N,Y,25.6865987,-80.3140252
Condo/Co-op,Miami,FL,33172,200000,2.0,1.0,909.0,7576.5,1981.0,1,220.0,209.0,N,Y,25.771179800000002,-80.3638925
Single Family Residential,Miami,FL,33133,1850000,4.0,4.5,3813.0,10000.0,1997.0,1,485.0,1667.0,N,Y,25.7347782,-80.2327195
Condo/Co-op,Miami,FL,33183,145000,1.0,1.0,750.0,7576.5,1973.0,1,193.0,288.0,N,Y,25.706435,-80.41709940000001
Single Family Residential,Miami,FL,33175,320000,3.0,1.0,1134.0,3560.0,1976.0,1,282.0,30.0,N,Y,25.724929,-80.4158516
Multi-Family (2-4 Unit),Miami,FL,33136,865000,3.0,2.0,2947.0,7576.5,1951.0,1,294.0,241.0,N,Y,25.7791639,-80.21111979999999
Condo/Co-op,Miami,FL,33126,180000,2.0,2.0,870.0,7576.5,1988.0,1,207.0,241.0,N,Y,25.7774945,-80.32703479999999
Single Family Residential,Miami,FL,33147,245000,3.0,2.0,1030.0,8800.0,1944.0,1,238.0,241.0,N,Y,25.866150100000002,-80.2379038
Single Family Residential,Miami,FL,33177,300000,3.0,2.0,1183.0,4000.0,1992.0,1,254.0,241.0,N,Y,25.5873377,-80.3832408
Condo/Co-op,Miami,FL,33131,1150000,3.0,4.5,1753.0,7576.5,2017.0,1,656.0,241.0,N,Y,25.7640563,-80.19159549999999
Townhouse,Miami,FL,33165,199500,2.0,1.5,828.0,7576.5,1984.0,1,241.0,112.0,N,Y,25.751514,-80.3668671
Single Family Residential,Miami,FL,33186,360000,4.0,3.0,2604.0,5565.0,1989.0,1,138.0,65.0,N,Y,25.680164399999995,-80.431283
Condo/Co-op,Miami,FL,33193,230000,3.0,2.0,1700.0,7576.5,1973.0,1,135.0,333.0,N,Y,25.7022711,-80.42943570000001
Condo/Co-op,Miami,FL,33131,405000,2.0,2.0,1131.0,7576.5,2016.0,1,358.0,632.0,N,Y,25.7736277,-80.1906604
Single Family Residential,Pinecrest,FL,33156,985000,5.0,3.0,3629.0,16770.0,1966.0,1,271.0,241.0,N,Y,25.666236899999998,-80.3091672
Single Family Residential,Miami,FL,33147,111440,3.0,1.0,1092.0,7500.0,2011.0,1,102.0,241.0,N,Y,25.8373771,-80.23041040000001
Townhouse,Miami,FL,33196,299999,3.0,2.5,1330.0,7576.5,1993.0,1,226.0,241.0,N,Y,25.662932,-80.442175
Condo/Co-op,Miami,FL,33137,610000,3.0,3.0,1535.0,7576.5,2015.0,1,397.0,810.0,N,Y,25.802621,-80.1868945
Multi-Family (2-4 Unit),Coral Gables,FL,33134,699900,5.0,3.0,2361.0,7576.5,1967.0,1,296.0,241.0,N,Y,25.7615417,-80.2619045
Condo/Co-op,Miami,FL,33131,1320000,2.0,2.5,1784.0,7576.5,2005.0,1,740.0,1146.0,N,Y,25.7690569,-80.186713
Condo/Co-op,Miami,FL,33131,249999,1.0,1.0,630.0,7576.5,2006.0,1,397.0,521.0,N,Y,25.7598741,-80.19068859999999
Condo/Co-op,Miami,FL,33181,198000,3.0,3.0,1950.0,7576.5,1975.0,1,102.0,1545.0,N,Y,25.8813384,-80.16238809999999
Condo/Co-op,Miami,FL,33138,220000,1.0,1.0,723.0,7576.5,1972.0,1,304.0,399.0,N,Y,25.834449499999998,-80.1811678
Condo/Co-op,Miami,FL,33179,126000,2.0,2.0,1712.0,7576.5,1984.0,1,270.0,254.0,N,Y,25.967545,-80.185692
Single Family Residential,Miami,FL,33176,1795000,6.0,5.0,6813.0,40511.0,1988.0,1,263.0,196.0,N,Y,25.6742302,-80.3357151
Single Family Residential,Unincorporated Dade County,FL,33196,409000,4.0,3.0,2206.0,7576.5,1999.0,1,185.0,75.0,N,Y,25.636744,-80.444342
Single Family Residential,Miami,FL,33193,339900,4.0,2.5,1712.0,7576.5,1993.0,1,270.0,99.0,N,Y,25.6984201,-80.45196949999999
Multi-Family (2-4 Unit),Miami,FL,33157,300000,3.0,2.0,1990.0,7576.5,1971.0,1,151.0,241.0,N,Y,25.591051999999998,-80.376864
Multi-Family (2-4 Unit),Miami,FL,33145,579900,5.0,3.0,2120.0,7576.5,1968.0,1,274.0,241.0,N,Y,25.7466246,-80.24794490000001
Single Family Residential,Miami,FL,33147,465000,4.0,3.0,1053.0,7576.5,1938.0,1,442.0,241.0,N,Y,25.8436468,-80.2232507
Townhouse,Miami,FL,33173,299000,3.0,2.0,1446.0,7576.5,1980.0,1,207.0,60.0,N,Y,25.697685,-80.36529990000001
Single Family Residential,Miami,FL,33176,675000,4.0,2.0,2665.0,15565.0,1974.0,1,253.0,241.0,N,Y,25.6410414,-80.341611
Condo/Co-op,Miami,FL,33143,274900,3.0,2.0,1200.0,7576.5,1969.0,1,229.0,432.0,N,Y,25.691148899999998,-80.31942149999999
Townhouse,Miami,FL,33181,229900,2.0,2.5,1285.0,7576.5,1974.0,1,179.0,520.0,N,Y,25.8830336,-80.1641825
Condo/Co-op,Miami,FL,33131,289000,1.0,1.0,898.0,7576.5,2008.0,1,322.0,575.0,N,Y,25.768324800000002,-80.19079140000001
Condo/Co-op,Miami,FL,33174,270000,3.0,2.0,1260.0,7576.5,2002.0,1,214.0,287.0,N,Y,25.7667451,-80.3403679
Condo/Co-op,Miami,FL,33131,289000,1.0,1.0,757.0,7576.5,2006.0,1,382.0,545.0,N,Y,25.7698295,-80.19175209999999
Townhouse,Miami,FL,33196,310000,3.0,2.5,1478.0,7576.5,2009.0,1,210.0,229.0,N,Y,25.682627,-80.44313709999999
Single Family Residential,Pinecrest,FL,33156,1440000,4.0,3.0,3900.0,39639.0,1959.0,1,369.0,241.0,N,Y,25.6492115,-80.2900128
Condo/Co-op,Miami,FL,33183,170000,2.0,2.0,1210.0,7576.5,1982.0,2,140.0,189.0,N,Y,25.7080674,-80.41819
Single Family Residential,Miami,FL,33176,629900,6.0,3.0,2763.0,19000.0,1967.0,2,228.0,4.0,N,Y,25.675805800000003,-80.3663435
Single Family Residential,South Miami,FL,33155,635000,3.0,2.0,1885.0,6906.0,1953.0,2,337.0,241.0,N,Y,25.729994199999997,-80.295851
Condo/Co-op,Miami,FL,33135,160000,2.0,1.0,725.0,7576.5,1949.0,2,221.0,150.0,N,Y,25.762755600000002,-80.2523354
Condo/Co-op,Miami,FL,33131,299000,1.0,1.0,688.0,7576.5,2008.0,2,435.0,435.0,N,Y,25.7650099,-80.19016859999999
Condo/Co-op,Miami,FL,33181,168000,2.0,2.0,1353.0,7576.5,1972.0,2,124.0,975.0,N,Y,25.8793862,-80.16551120000001
Single Family Residential,Miami,FL,33133,1950000,4.0,3.0,4509.0,23005.0,1915.0,2,432.0,241.0,N,Y,25.740345,-80.2212823
Single Family Residential,Miami,FL,33155,380000,3.0,1.0,1083.0,8000.0,1957.0,2,351.0,241.0,N,Y,25.7422438,-80.33444229999999
Townhouse,Miami,FL,33186,290000,2.0,2.0,1446.0,7576.5,1986.0,2,201.0,200.0,N,Y,25.683851999999998,-80.40920190000001
Vacant Land,Miami,FL,33142,120000,3.0,2.0,1712.0,5000.0,1980.0,2,270.0,241.0,N,Y,25.8166098,-80.2204218
Condo/Co-op,Miami,FL,33176,215000,3.0,3.0,1490.0,7576.5,1974.0,2,144.0,470.0,N,Y,25.685291,-80.369665
Single Family Residential,Miami,FL,33177,224900,3.0,1.5,1578.0,8759.0,1957.0,2,143.0,241.0,N,Y,25.5937546,-80.38193609999999
Condo/Co-op,Miami,FL,33130,629000,2.0,2.0,868.0,7576.5,2016.0,2,725.0,471.0,N,Y,25.7613319,-80.19377420000001
Condo/Co-op,Miami,FL,33137,289900,1.0,1.5,735.0,7576.5,2007.0,2,394.0,661.0,N,Y,25.8093617,-80.191939
Single Family Residential,Miami,FL,33143,1024000,4.0,2.0,2685.0,8100.0,1967.0,2,381.0,241.0,N,Y,25.698675199999997,-80.2764062
Condo/Co-op,Miami,FL,33133,675000,2.0,2.0,1460.0,7576.5,1982.0,2,462.0,241.0,N,Y,25.7281734,-80.2389675
Single Family Residential,Miami,FL,33143,734999,4.0,2.0,2397.0,16971.0,1964.0,2,307.0,241.0,N,Y,25.6886044,-80.32712059999999
Condo/Co-op,Miami,FL,33176,165000,1.0,1.0,758.0,7576.5,1972.0,2,218.0,100.0,N,Y,25.640031699999998,-80.338539
Condo/Co-op,Miami,FL,33133,359000,2.0,2.0,715.0,7576.5,1970.0,2,502.0,510.0,N,Y,25.7297338,-80.24184670000001
Condo/Co-op,Miami,FL,33145,385450,2.0,2.0,1285.0,7576.5,2006.0,2,300.0,916.0,N,Y,25.7496079,-80.24568599999999
Single Family Residential,Miami,FL,33165,425000,4.0,2.0,1712.0,7501.0,1962.0,2,270.0,241.0,N,Y,25.7528877,-80.3518205
Single Family Residential,Miami,FL,33186,289000,3.0,1.0,931.0,4855.0,1984.0,2,310.0,200.0,N,Y,25.629245899999997,-80.4250238
Single Family Residential,Miami,FL,33173,649000,4.0,2.0,1950.0,7613.0,1988.0,2,333.0,241.0,N,Y,25.6945676,-80.33900030000001
Single Family Residential,Miami,FL,33185,619900,5.0,3.5,3080.0,9811.0,2019.0,2,201.0,241.0,N,Y,25.746872,-80.447191
Single Family Residential,Miami,FL,33147,525000,4.0,3.5,2346.0,7000.0,1956.0,2,224.0,241.0,N,Y,25.864721199999998,-80.25416070000001
Single Family Residential,Miami,FL,33165,499900,4.0,2.0,2021.0,7500.0,1962.0,2,247.0,241.0,N,Y,25.7211641,-80.33834759999999
Single Family Residential,Miami,FL,33177,390000,4.0,2.0,2098.0,7565.0,2000.0,2,186.0,241.0,N,Y,25.5736786,-80.39939559999999
Condo/Co-op,Miami,FL,33138,242500,1.0,1.5,1042.0,7576.5,1965.0,2,233.0,862.0,N,Y,25.8382294,-80.1795073
Townhouse,Miami,FL,33175,239900,3.0,2.0,1412.0,7576.5,1976.0,2,170.0,52.0,N,Y,25.745259,-80.3935319
Single Family Residential,El Portal,FL,33138,329000,2.0,1.0,1206.0,8400.0,1938.0,2,273.0,241.0,N,Y,25.854028500000002,-80.1946332
Single Family Residential,Miami,FL,33125,357900,2.0,1.0,1104.0,7450.0,1953.0,3,324.0,241.0,N,Y,25.7809279,-80.2250078
Condo/Co-op,Miami,FL,33137,299000,1.0,1.0,728.0,7576.5,2015.0,3,411.0,241.0,N,Y,25.815607699999997,-80.1892255
Single Family Residential,Miami,FL,33155,525000,4.0,3.0,2100.0,7500.0,1956.0,3,250.0,241.0,N,Y,25.7406892,-80.30035240000001
Condo/Co-op,Miami,FL,33137,979900,2.0,3.0,2000.0,7576.5,2018.0,3,490.0,1159.0,N,Y,25.8084893,-80.19217900000001
Single Family Residential,Miami,FL,33147,165000,4.0,2.0,2007.0,7875.0,1947.0,3,82.0,241.0,N,Y,25.858781,-80.22742509999999
Condo/Co-op,Miami,FL,33126,200000,3.0,2.0,1208.0,7576.5,1984.0,3,166.0,275.0,N,Y,25.7789846,-80.3323742
Condo/Co-op,Miami,FL,33131,849000,2.0,2.5,1505.0,7576.5,2005.0,3,564.0,970.0,N,Y,25.7690569,-80.186713
Single Family Residential,Miami,FL,33193,479900,4.0,4.0,2911.0,6231.0,2003.0,3,165.0,241.0,N,Y,25.7046207,-80.4550547
Single Family Residential,South Miami,FL,33155,489900,3.0,2.0,1491.0,6900.0,1956.0,3,329.0,241.0,N,Y,25.7331932,-80.29441690000002
Single Family Residential,Miami,FL,33177,329000,3.0,2.0,1435.0,5943.0,1993.0,3,229.0,241.0,N,Y,25.598062300000002,-80.4104609
Condo/Co-op,Miami,FL,33132,235000,1.0,1.0,1712.0,7576.5,2005.0,3,270.0,491.0,N,Y,25.7939543,-80.1896749
Townhouse,Miami,FL,33155,369900,3.0,2.5,1349.0,7576.5,1976.0,3,274.0,241.0,N,Y,25.7261237,-80.302646
Single Family Residential,Pinecrest,FL,33156,5800000,7.0,8.5,7835.0,38245.0,2019.0,3,740.0,241.0,N,Y,25.6633067,-80.2902958
Single Family Residential,Miami,FL,33133,2249900,4.0,4.0,4299.0,12750.0,2017.0,3,523.0,241.0,N,Y,25.7460305,-80.2190819
Condo/Co-op,Miami,FL,33137,519000,2.0,2.0,982.0,7576.5,2018.0,3,529.0,737.0,N,Y,25.8084893,-80.19217900000001
Single Family Residential,Miami,FL,33133,825000,2.0,1.0,1047.0,7000.0,1949.0,3,788.0,241.0,N,Y,25.721879,-80.2519537
Condo/Co-op,Miami,FL,33125,310000,2.0,2.0,1712.0,7576.5,2010.0,3,270.0,530.0,N,Y,25.7850566,-80.2259712
Condo/Co-op,Miami,FL,33137,4400000,4.0,4.5,2915.0,7576.5,2018.0,3,1509.0,1057.0,N,Y,25.807191699999997,-80.18583100000001
Condo/Co-op,Miami,FL,33137,285000,2.0,2.0,990.0,7576.5,1973.0,3,288.0,592.0,N,Y,25.810143,-80.18646120000001
Townhouse,Miami,FL,33143,255000,2.0,2.0,1075.0,7576.5,1969.0,3,237.0,389.0,N,Y,25.691144,-80.319419
Condo/Co-op,Miami,FL,33132,420000,2.0,2.0,1144.0,7576.5,2007.0,3,367.0,571.0,N,Y,25.7940945,-80.18695190000001
Townhouse,Miami,FL,33183,295900,3.0,2.5,1360.0,7576.5,1985.0,3,218.0,218.0,N,Y,25.708575,-80.410996
Condo/Co-op,Miami,FL,33129,2900000,3.0,3.5,3170.0,7576.5,1997.0,3,915.0,2569.0,N,Y,25.755259,-80.19474670000001
Condo/Co-op,Miami,FL,33137,498500,1.0,1.0,1712.0,7576.5,2018.0,3,270.0,600.0,N,Y,25.806747,-80.187116
Single Family Residential,Miami,FL,33143,989900,3.0,3.0,2525.0,22846.0,1968.0,3,392.0,241.0,N,Y,25.6961336,-80.3137158
Single Family Residential,Miami,FL,33184,395000,3.0,2.0,1844.0,5604.0,1981.0,3,214.0,75.0,N,Y,25.759335999999998,-80.411617
Single Family Residential,Pinecrest,FL,33156,590000,3.0,2.0,2242.0,17973.0,1957.0,3,263.0,241.0,N,Y,25.6443146,-80.324727
Condo/Co-op,Miami,FL,33137,1750000,3.0,3.5,1634.0,7576.5,2018.0,3,1071.0,986.0,N,Y,25.807191699999997,-80.18583100000001
Single Family Residential,Miami,FL,33168,335000,3.0,2.0,1578.0,11392.0,1950.0,3,212.0,241.0,N,Y,25.908901500000002,-80.20535490000002
Condo/Co-op,Miami,FL,33181,339000,2.0,3.0,2320.0,7576.5,1975.0,3,146.0,1505.0,N,Y,25.8813384,-80.16238809999999
Condo/Co-op,Miami,FL,33144,235000,2.0,2.0,875.0,7576.5,2006.0,3,269.0,273.0,N,Y,25.7615358,-80.33258199999999
Single Family Residential,Miami,FL,33157,321355,3.0,2.0,1058.0,7700.0,1972.0,3,304.0,241.0,N,Y,25.6270137,-80.3650059
Single Family Residential,Miami,FL,33176,1650000,8.0,5.5,5152.0,39204.0,1955.0,3,320.0,241.0,N,Y,25.662546,-80.3524446
Single Family Residential,Miami,FL,33167,245000,3.0,1.0,1297.0,6000.0,1959.0,3,189.0,241.0,N,Y,25.8826062,-80.2235699
Single Family Residential,Miami,FL,33175,625000,5.0,3.0,2687.0,11409.0,1988.0,3,233.0,241.0,N,Y,25.7499016,-80.41835440000001
Vacant Land,Miami,FL,33133,1100000,3.0,2.0,1712.0,12677.0,1980.0,3,270.0,241.0,N,Y,25.743520999999998,-80.21652900000001
Condo/Co-op,Miami,FL,33125,149000,2.0,1.0,634.0,7576.5,1963.0,3,235.0,162.0,N,Y,25.7828794,-80.2340206
Single Family Residential,Pinecrest,FL,33156,1299999,5.0,4.0,4179.0,37897.0,1956.0,3,311.0,241.0,N,Y,25.6675396,-80.3057067
Single Family Residential,Miami,FL,33177,500000,5.0,5.0,3332.0,6900.0,1998.0,3,150.0,241.0,N,Y,25.611535999999997,-80.42487170000001
Single Family Residential,Miami,FL,33122,1570000,5.0,6.5,4247.0,4515.0,2015.0,3,370.0,680.0,N,Y,25.803565600000002,-80.3185252
Condo/Co-op,Miami,FL,33129,249000,1.0,1.5,782.0,7576.5,1969.0,3,318.0,565.0,N,Y,25.7491051,-80.20193370000001
Condo/Co-op,Miami,FL,33132,459000,1.0,1.5,1712.0,7576.5,2018.0,3,270.0,540.0,N,Y,25.7907062,-80.1923857
Vacant Land,Pinecrest,FL,33156,895000,3.0,2.0,1712.0,29620.0,1980.0,3,270.0,241.0,N,Y,25.6829053,-80.3037696
Single Family Residential,Miami,FL,33142,155000,3.0,1.0,1270.0,4480.0,1926.0,3,122.0,241.0,N,Y,25.814217199999998,-80.2252475
Single Family Residential,Miami,FL,33165,659900,4.0,4.5,2275.0,18300.0,1996.0,3,290.0,241.0,N,Y,25.7425333,-80.38028349999999
Single Family Residential,Miami,FL,33134,417000,3.0,2.0,1601.0,6420.0,1945.0,3,260.0,241.0,N,Y,25.7676913,-80.2688181
Single Family Residential,Miami,FL,33143,1585000,4.0,3.0,2995.0,22438.0,2011.0,3,529.0,241.0,N,Y,25.6968361,-80.30812259999999
Single Family Residential,Miami,FL,33189,279900,4.0,3.0,1930.0,7000.0,1998.0,3,145.0,241.0,N,Y,25.567469100000004,-80.37832879999999
Condo/Co-op,Miami,FL,33137,484000,2.0,2.0,1262.0,7576.5,2008.0,3,384.0,923.0,N,Y,25.8077848,-80.192272
Condo/Co-op,Miami,FL,33156,249000,1.0,1.0,759.0,7576.5,2007.0,3,328.0,473.0,N,Y,25.6879265,-80.31453990000001
Single Family Residential,Pinecrest,FL,33156,899000,2.0,1.5,1769.0,38637.0,1952.0,3,508.0,241.0,N,Y,25.6521576,-80.2933434
Condo/Co-op,Miami,FL,33179,129000,2.0,2.0,954.0,7576.5,1966.0,3,135.0,225.0,N,Y,25.950986899999997,-80.17048050000001
Condo/Co-op,Miami,FL,33133,998000,2.0,2.0,1882.0,7576.5,1981.0,3,530.0,1652.0,N,Y,25.735129500000003,-80.21874609999999
Condo/Co-op,Miami,FL,33130,499000,2.0,2.0,1165.0,7576.5,2015.0,3,428.0,742.0,N,Y,25.7632203,-80.193663
Condo/Co-op,Miami,FL,33145,235000,2.0,2.0,921.0,7576.5,2004.0,3,255.0,450.0,N,Y,25.748703,-80.24664279999999
Condo/Co-op,Miami,FL,33179,150000,2.0,2.0,1232.0,7576.5,1983.0,3,122.0,241.0,N,Y,25.965947600000003,-80.19554659999999
Single Family Residential,Miami,FL,33193,489900,4.0,3.0,2567.0,6038.0,2002.0,3,191.0,40.0,N,Y,25.7067235,-80.4570484
Condo/Co-op,Miami,US,33138,348000,3.0,2.5,1836.0,7576.5,1982.0,3,190.0,833.0,N,Y,25.873205300000002,-80.1654313
Condo/Co-op,Miami,FL,33179,119000,2.0,1.0,860.0,7576.5,1965.0,3,138.0,241.0,N,Y,25.9471148,-80.1658542
Single Family Residential,Miami,FL,33193,421000,3.0,2.0,2221.0,6000.0,2007.0,3,190.0,241.0,N,Y,25.709273100000004,-80.4582701
Single Family Residential,Miami,FL,33196,475000,5.0,3.0,2287.0,6250.0,2015.0,3,208.0,100.0,N,Y,25.6596936,-80.43958429999999
Vacant Land,Miami,FL,33196,1200,3.0,2.0,1712.0,108900.0,1980.0,3,270.0,241.0,N,Y,25.6231453,-80.5195179
Townhouse,Miami,FL,33172,275000,2.0,2.5,1520.0,7576.5,1980.0,3,181.0,309.0,N,Y,25.7766078,-80.3606185
Single Family Residential,Miami,FL,33144,679999,6.0,6.0,3422.0,11900.0,1977.0,3,199.0,241.0,N,Y,25.7640812,-80.3251187
Single Family Residential,Miami,FL,33187,1100000,5.0,4.5,3000.0,247421.0,1983.0,3,367.0,350.0,N,Y,25.618516,-80.480063
Single Family Residential,Miami,FL,33184,535000,4.0,2.5,2323.0,7830.0,1995.0,3,230.0,241.0,N,Y,25.7527437,-80.4235677
Vacant Land,Miami,FL,33181,450000,3.0,2.0,1712.0,36168.0,1980.0,3,270.0,241.0,N,Y,25.908855,-80.16615300000001
Condo/Co-op,Miami,FL,33137,440000,2.0,2.0,1142.0,7576.5,2008.0,3,385.0,718.0,N,Y,25.8077848,-80.192272
Condo/Co-op,Miami,FL,33130,264300,1.0,1.0,704.0,7576.5,2008.0,3,375.0,517.0,N,Y,25.770906699999998,-80.1940335
Multi-Family (2-4 Unit),Miami,FL,33187,477500,4.0,3.0,2582.0,7576.5,2014.0,3,185.0,145.0,N,Y,25.6038676,-80.4419963
Condo/Co-op,Miami,FL,33132,1050000,2.0,3.0,1579.0,7576.5,2008.0,3,665.0,241.0,N,Y,25.783417899999996,-80.1900868
Single Family Residential,Miami,FL,33155,494000,3.0,2.0,1566.0,7500.0,1956.0,3,315.0,241.0,N,Y,25.740717899999996,-80.29804509999998
Condo/Co-op,Miami,FL,33132,649900,2.0,2.5,1237.0,7576.5,2008.0,3,525.0,241.0,N,Y,25.783417899999996,-80.1900868
Townhouse,Miami,FL,33196,389000,5.0,4.0,2312.0,7576.5,2016.0,3,168.0,33.0,N,Y,25.676366,-80.471772
Townhouse,Miami,FL,33185,350000,3.0,2.5,1710.0,7576.5,2004.0,3,205.0,180.0,N,Y,25.738191,-80.444011
Condo/Co-op,Miami,FL,33129,224900,1.0,1.5,540.0,7576.5,1999.0,3,416.0,295.0,N,Y,25.7545392,-80.19854240000001
Single Family Residential,Miami,FL,33138,450000,3.0,2.0,1600.0,6215.0,1977.0,3,281.0,241.0,N,Y,25.849716600000004,-80.18029200000001
Single Family Residential,Miami,FL,33150,297900,3.0,2.0,1694.0,7500.0,1953.0,3,176.0,241.0,N,Y,25.8574036,-80.21542159999998
Condo/Co-op,Miami,FL,33130,420000,1.0,1.0,570.0,7576.5,2016.0,3,737.0,746.0,N,Y,25.7613319,-80.19377420000001
Single Family Residential,Miami,FL,33177,370000,4.0,2.5,2376.0,3956.0,1997.0,3,156.0,241.0,N,Y,25.603222600000002,-80.42206800000001
Condo/Co-op,Miami,FL,33137,899000,2.0,2.5,1310.0,7576.5,2007.0,3,686.0,241.0,N,Y,25.8012596,-80.1858068
Single Family Residential,Miami,FL,33157,580000,7.0,5.0,3875.0,7576.5,2018.0,3,150.0,241.0,N,Y,25.6069629,-80.358391
Condo/Co-op,Miami,FL,33173,199000,2.0,2.0,985.0,7576.5,1983.0,3,202.0,316.0,N,Y,25.689741,-80.363838
Condo/Co-op,Miami,FL,33131,429000,2.0,2.0,1105.0,7576.5,2005.0,3,388.0,518.0,N,Y,25.7717055,-80.1863732
Condo/Co-op,Miami,FL,33131,300000,1.0,1.0,778.0,7576.5,2004.0,3,386.0,476.0,N,Y,25.7619908,-80.19041870000001
Condo/Co-op,Miami,FL,33137,679000,2.0,2.0,1104.0,7576.5,2015.0,3,615.0,241.0,N,Y,25.803847100000002,-80.1874102
Condo/Co-op,Miami,FL,33172,156900,1.0,1.5,1125.0,7576.5,1972.0,3,139.0,184.0,N,Y,25.775854100000004,-80.3465093
Townhouse,Miami,FL,33193,312000,3.0,2.5,1708.0,7576.5,2000.0,3,183.0,241.0,N,Y,25.6987078,-80.4605295
Condo/Co-op,Miami,FL,33131,420000,1.0,1.0,895.0,7576.5,2004.0,3,469.0,734.0,N,Y,25.7599996,-80.18916290000001
Single Family Residential,Miami,FL,33185,489000,4.0,3.0,2329.0,9250.0,2000.0,3,210.0,241.0,N,Y,25.7155843,-80.4571186
Townhouse,Miami,FL,33196,368000,4.0,3.0,1827.0,7576.5,2015.0,3,201.0,102.0,N,Y,25.658308399999996,-80.43800920000001
Condo/Co-op,Miami,FL,33137,975000,1.0,2.0,1062.0,7576.5,2019.0,3,918.0,648.0,N,Y,25.806137300000003,-80.1871886
Townhouse,Miami,FL,33155,278500,2.0,2.5,1025.0,7576.5,1986.0,3,272.0,270.0,N,Y,25.728158999999998,-80.30589599999999
Condo/Co-op,Miami,FL,33193,249900,3.0,2.5,1850.0,7576.5,1980.0,3,135.0,380.0,N,Y,25.6875954,-80.4430611
Single Family Residential,Miami,FL,33157,360000,4.0,2.0,1580.0,7900.0,1967.0,3,228.0,241.0,N,Y,25.624531899999997,-80.36192829999999
